Tankmasse;Tage;Apo;Per;SMA;ECC;TotalMass;orbitheight;targetmass
9.864.679.691;1.415.507.131;6.567.461.406;6.551.232.587;6.559.346.997;0.001237075822;1.038.646.797;400;50
9.822.279.062;1.793.287.722;6.592.716.766;6.549.414.633;6.571.065.699;0.003294909449;1.288.222.791;400;75
9.776.271.798;2.187.189.045;658.970.858;6.547.448.895;6.568.578.737;0.003216805845;1.537.762.718;400;100
9.731.159.278;2.562.145.555;6.579.334.191;6.544.080.128;6.561.707.159;0.00268634837;1.787.311.593;400;125
9.687.158.332;2.924.596.429;658.238.531;6.550.466.408;6.566.425.859;0.00243046242;2.036.871.583;400;150
9.646.385.488;3.264.559.138;6.571.485.324;6.551.261.069;6.561.373.196;0.001541160225;2.286.463.855;400;175
9.605.560.985;360.788.794;6.573.537.486;6.551.130.469;6.562.333.977;0.001707244467;253.605.561;400;200
9.569.391.127;3.919.932.919;6.564.428.641;6.543.682.993;6.554.055.817;0.001582657289;2.785.693.911;400;225
9.534.181.337;4.237.878.851;6.569.218.474;6.544.623.518;6.556.920.996;0.001875495797;3.035.341.813;400;250
949.969.761;4.568.308.551;6.573.938.833;6.547.455.947;656.069.739;0.002018298075;3.284.996.976;400;275
9.468.161.767;4.892.560.233;6.570.711.018;6.543.878.342;655.729.468;0.002046017237;3.534.681.618;400;300
9.437.434.135;5.223.110.337;6.580.064.042;6.551.054.466;6.565.559.254;0.002209223569;3.784.374.341;400;325
9.713.384.557;2.700.413.331;6.597.697.447;6.550.125.315;6.573.911.381;0.003618251672;1.037.133.846;450;50
9.640.846.767;3.316.345.588;6.577.949.837;6.545.353.606;6.561.651.722;0.002483843446;1.286.408.468;450;75
9.575.757.966;3.884.456.104;6.571.702.784;6.544.004.516;655.785.365;0.002111839452;153.575.758;450;100
9.512.314.544;4.461.300.445;6.573.458.392;6.543.609.137;6.558.533.764;0.002275604302;1.785.123.145;450;125
9.452.917.254;5.038.642.364;6.576.869.025;6.545.837.986;6.561.353.506;0.002364682736;2.034.529.173;450;150
939.725.962;5.610.052.138;6.547.345.554;6.540.705.588;6.544.025.571;0.0005073304222;2.283.972.596;450;175
9.345.089.358;6.142.779.067;6.549.401.577;6.546.257.568;6.547.829.572;0.0002400802674;2.533.450.894;450;200
928.441.618;6.735.547.037;656.862.686;654.692.884;655.777.785;0.001654372866;2.782.844.162;450;225
9.248.726.629;7.274.991.831;6.565.039.648;6.547.765.327;6.556.402.488;0.001317362805;3.032.487.266;450;250
9.214.726.029;7.857.695.661;656.221.347;6.549.941.656;6.556.077.563;0.0009359112793;328.214.726;450;275
9.186.700.371;8.453.424.495;6.558.831.243;6.549.648.191;6.554.239.717;0.0007005428932;3.531.867.004;450;300
9.175.841.845;9.090.048.993;6.561.272.462;6.551.000.243;6.556.136.352;0.0007834049457;3.781.758.418;450;325
;;;;;;;;
9.573.610.976;3.901.803.194;658.171.252;6.547.543.339;6.564.627.929;0.002602522328;103.573.611;500;50
9.480.764.627;4.751.915.811;6.591.379.532;6.551.178.603;6.571.279.067;0.003058835881;1.284.807.646;500;75
;;;;;;;;
9.090.406.866;101.976.757;6.561.412.582;6.547.303.006;6.554.357.794;0.001076350777;1.030.904.069;750;50
8.806.830.211;1.547.603.757;6.630.896.041;6.547.384.883;6.589.140.462;0.00633702971;1.278.068.302;750;75
8.502.344.348;183.007.825;6.614.937.172;6.547.555.261;6.581.246.217;0.005119236506;1.525.023.443;750;100
8.224.645.752;2.088.780.179;6.626.596.503;6.548.918.151;6.587.757.327;0.005895659791;1.772.246.458;750;125
8.039.318.703;2.357.987.631;6.579.489.509;6.543.170.412;6.561.329.961;0.002767662768;2.020.393.187;750;150
7.983.391.166;275.609.786;6.601.996.461;654.991.105;6.575.953.755;0.003960293327;2.269.833.912;750;175
7.557.457.383;3.222.600.239;6.633.647.132;6.550.735.414;6.592.191.273;0.006288631064;2.515.574.574;750;200
7.144.188.501;3.585.726.155;664.234.661;6.550.002.691;6.596.174.651;0.006999808578;2.761.441.885;750;225
6.973.897.987;3.829.684.309;663.359.911;6.550.278.285;6.591.938.697;0.006319902922;300.973.898;750;250
6.944.767.071;4.217.014.873;6.572.157.973;6.547.079.278;6.559.618.625;0.001911597067;3.259.447.671;750;275
6.528.604.061;4.676.409.884;6.617.847.204;6.551.494.707;6.584.670.956;0.005038406405;3.505.286.041;750;300
6.213.630.228;4.969.362.422;6.616.589.445;6.548.946.211;6.582.767.828;0.005137902087;3.752.136.302;750;325
5.940.507.132;520.876.176;6.670.936.724;6.550.987.842;6.610.962.283;0.009071968452;3.999.405.071;750;350
5.704.308.915;5.463.078.107;6.612.437.656;6.549.799.955;6.581.118.805;0.004758894568;4.247.043.089;750;375
5.598.256.089;5.820.668.649;660.550.934;6.550.976.511;6.578.242.925;0.004144938811;4.495.982.561;750;400
5.196.420.158;6.206.284.831;662.649.521;6.550.657.767;6.588.576.488;0.005755222158;4.741.964.202;750;425
4.900.999.372;6.447.533.892;6.680.866.467;6.550.951.773;661.590.912;0.009818355374;4.989.009.994;750;450
4.636.644.278;6.676.348.205;6.640.995.538;6.550.975.334;6.595.985.436;0.006823863155;5.236.366.443;750;475
45.089.687;6.948.042.534;6.612.197.985;6.550.924.469;6.581.561.227;0.004654937783;5.485.089.687;750;500
4.189.955.755;7.359.148.924;6.619.799.422;6.550.786.934;6.585.293.178;0.005239894856;5.731.899.558;750;525
3.840.849.616;7.649.074.481;6.694.259.637;6.550.757.304;6.622.508.471;0.01083443936;5.978.408.496;750;550
;;;;;;;;
8.301.455.127;2.013.009.847;6.635.227.846;6.548.346.063;6.591.786.954;0.006590154085;1.523.014.551;800;100
8.047.489.093;2.298.306.593;6.609.471.192;6.547.189.049;6.578.330.121;0.004733886973;1.770.474.891;800;125
7.980.211.193;2.680.091.595;6.585.210.616;6.544.666.178;6.564.938.397;0.003087952612;2.019.802.112;800;150
7.547.293.835;3.224.161.624;6.631.882.597;6.550.730.597;6.591.306.597;0.006155987376;2.265.472.938;800;175
7.102.373.565;3.612.926.511;6.674.366.549;6.550.736.288;6.612.551.418;0.00934815121;2.511.023.736;800;200
6.902.639.816;3.870.778.883;6.641.734.947;6.549.974.511;6.595.854.729;0.006955917018;2.759.026.398;800;225
6.865.890.155;430.356.036;6.586.333.843;65.501.513;6.568.242.572;0.002754354954;3.008.658.902;800;250
6.378.090.035;4.792.869.073;6.633.026.646;6.551.450.801;6.592.238.724;0.00618726424;32.537.809;800;275
6.053.954.774;508.639.075;6.654.973.799;6.550.880.901;660.292.735;0.007882329496;3.500.539.548;800;300
5.755.417.119;5.348.082.226;667.291.267;6.551.289.525;6.612.101.097;0.009197011927;3.747.554.171;800;325
5.562.358.346;562.597.151;6.607.603.123;6.551.081.248;6.579.342.185;0.004295404716;3.995.623.583;800;350
52.579.982;6.083.904.532;66.220.787;655.035.621;6.586.217.455;0.005444892345;4.242.579.982;800;375
489.905.264;6.384.884.583;6.687.885.479;6.550.524.746;6.619.205.112;0.01037592365;4.488.990.526;800;400
4.608.852.817;6.622.375.003;6.684.998.944;6.550.899.704;6.617.949.324;0.01013147979;4.736.088.528;800;425
438.425.965;6.889.660.709;6.619.245.289;6.549.957.854;6.584.601.572;0.005261323214;4.983.842.597;800;450
4.129.823.923;7.316.770.212;6.624.640.369;6.551.482.455;6.588.061.412;0.005552309704;5.231.298.239;800;475
3.757.976.626;7.666.257.728;6.710.560.718;6.550.599.992;6.630.580.355;0.01206234728;5.477.579.766;800;500
3.428.448.466;7.940.655.538;6.698.153.117;6.551.470.111;6.624.811.614;0.01107073038;5.724.284.485;800;525
3.167.119.974;8.176.695.629;6.645.690.418;6.551.404.802;659.854.761;0.007144421905;59.716.712;800;550
812.984.852;2.171.606.997;6.664.543.219;6.548.622.414;6.606.582.817;0.008773128896;1.521.298.485;850;100
7.945.704.411;251.726.392;6.592.230.689;6.550.787.264;6.571.508.977;0.003153265497;1.769.457.044;850;125
7.645.815.431;3.122.994.077;6.619.232.115;6.550.467.115;6.584.849.615;0.005221455597;2.016.458.154;850;150
7.148.133.968;3.562.160.251;6.704.496.423;6.551.045.826;6.627.771.124;0.01157633499;226.148.134;850;175
6.846.937.897;3.853.784.211;6.672.851.026;6.550.311.638;6.611.581.332;0.009267025699;2.508.469.379;850;200
680.053.057;4.257.034.632;6.593.545.543;6.550.356.221;6.571.950.882;0.003285882911;2.758.005.306;850;225
6.334.120.426;4.806.037.022;6.635.148.616;6.550.448.306;6.592.798.461;0.006423699325;3.003.341.204;850;250
5.967.163.159;5.130.256.706;6.662.767.123;655.133.509;6.607.051.106;0.008432811541;3.249.671.632;850;275
5.665.904.746;540.233.135;6.725.550.238;6.550.863.048;6.638.206.643;0.01315770956;3.496.659.047;850;300
5.434.374.892;571.523.647;6.619.038.263;6.550.016.402;6.584.527.332;0.00524121602;3.744.343.749;850;325
5.063.497.331;617.806.738;6.647.140.752;6.550.740.811;6.598.940.782;0.007304198061;3.990.634.973;850;350
470.382.674;6.478.478.981;6.696.319.573;6.550.688.044;6.623.503.808;0.01099354159;4.237.038.267;850;375
44.062.629;6.735.447.109;6.716.403.324;655.148.615;6.633.944.737;0.01242979709;4.484.062.629;850;400
4.216.294.003;7.062.051.173;6.607.582.851;6.550.715.148;6.579.149;0.004321812985;473.216.294;850;425
3.817.653.653;7.586.769.555;6.653.590.576;6.550.950.793;6.602.270.685;0.007773066901;4.978.176.537;850;450
3.467.945.818;7.882.848.591;6.774.449.659;6.550.795.968;6.662.622.813;0.0167842078;5.224.679.458;850;475
3.152.497.643;8.157.117.199;6.705.439.515;6.551.065.873;6.628.252.694;0.01164512347;5.471.524.976;850;500
289.991.749;8.419.808.979;6.650.226.344;6.550.960.748;6.600.593.546;0.007519444681;5.718.999.175;850;525
2.849.886.312;8.815.323.555;6.593.450.289;6.551.123.535;6.572.286.912;0.003220093238;5.968.498.863;850;550
8.660.446.032;1.673.184.732;6.690.504.406;6.551.412.074;662.095.824;0.0105039427;102.660.446;900;50
8.301.365.552;2.006.074.754;6.633.577.479;6.548.139.923;6.590.858.701;0.006481519332;1.273.013.656;900;75
7.994.034.915;2.333.664.631;6.645.463.288;6.551.089.853;659.827.657;0.007151370028;1.519.940.349;900;100
7.864.150.072;2.857.092.273;6.621.483.911;6.550.297.647;6.585.890.779;0.005404452235;1.768.641.501;900;125
7.302.336.299;3.421.802.875;6.710.113.231;6.550.701.402;6.630.407.317;0.0120212697;2.013.023.363;900;150
