Tankmasse;Tage;Apo;Per;SMA;ECC;TotalMass;orbitheight;targetmass;
9.845.816.981;1.300.999.016;6.585.226.496;6.557.024.453;6.571.125.475;0.002145906605;103.845.817;400;50;0
98.007.274;1.634.405.517;6.595.515.442;6.550.598.916;6.573.057.179;0.003416715018;1.288.007.274;400;75;1
974.957.416;1.996.343.899;6.602.280.882;6.552.108.443;6.577.194.662;0.003814121524;1.537.495.742;400;100;1
9.700.529.318;2.333.444.154;6.604.982.315;6.555.805.895;6.580.394.105;0.003736586238;1.787.005.293;400;125;1
964.951.541;26.764.578;6.593.519.405;655.227.001;6.572.894.707;0.003137840894;2.036.495.154;400;150;1
9.601.152.891;3.000.765.025;6.595.518.125;6.556.681.382;6.576.099.753;0.002952870598;2.286.011.529;400;175;1
9.555.814.704;3.308.751.843;658.471.953;6.556.625.556;6.570.672.543;0.002137830968;2.535.558.147;400;200;1
951.024.568;3.620.257.454;6.585.425.404;6.556.337.461;6.570.881.433;0.002213397406;2.785.102.457;400;225;1
9.470.214.173;3.900.517.862;6.585.650.473;6.555.873.419;6.570.761.946;0.002265875238;3.034.702.142;400;250;1
9.429.722.779;419.287.227;6.584.072.061;6.554.310.926;6.569.191.493;0.002265205335;3.284.297.228;400;275;1
9.389.465.899;4.497.703.619;6.589.684.919;6.557.146.162;657.341.554;0.002475026629;3.533.894.659;400;300;0
9.353.465.038;4.784.043.047;6.590.449.088;6.557.599.525;6.574.024.307;0.002498436404;378.353.465;400;325;0
9.316.650.656;5.095.079.037;6.588.568.964;6.555.553.751;6.572.061.358;0.002511785232;4.033.166.507;400;350;1
9.282.506.638;5.393.961.093;6.585.760.628;6.553.823.462;6.569.792.045;0.002430607039;4.282.825.066;400;375;1
9.250.808.117;5.674.184.712;6.586.081.096;655.783.538;6.571.958.238;0.002148957356;4.532.508.081;400;400;0
9.221.202.552;5.935.611.469;6.570.544.581;6.554.216.413;6.562.380.497;0.001244073583;4.782.212.026;400;425;1
9.184.892.096;6.231.132.159;6.581.782.796;6.555.980.962;6.568.881.879;0.001963944106;5.031.848.921;400;450;1
9.147.407.287;6.532.662.145;6.577.159.428;6.567.471.364;6.572.315.396;0.000737035875;5.281.474.073;400;475;2
912.039.239;6.818.969.041;6.581.092.262;6.571.878.315;6.576.485.289;0.0007005221614;5.531.203.924;400;500;2
9.100.992.159;7.074.263.693;6.586.703.256;6.577.038.409;6.581.870.832;0.0007342020966;5.781.009.922;400;525;2
9.081.968.355;733.559.359;6.590.844.366;6.581.059.681;6.585.952.024;0.0007428451048;6.030.819.684;400;550;2
9.690.799.574;2.379.286.155;6.610.034.762;6.551.213.519;6.580.624.141;0.004469275374;1.036.907.996;450;50;1
9.609.164.497;2.943.624.154;6.605.767.172;6.554.981.127;658.037.415;0.003858902551;1.286.091.645;450;75;1
9.533.127.542;3.472.379.228;6.588.258.552;6.552.208.681;6.570.233.617;0.002743423886;1.535.331.275;450;100;1
9.464.985.897;3.954.395.916;6.599.503.286;6.557.483.547;6.578.493.416;0.00319372052;1.784.649.859;450;125;0
9.394.362.917;4.473.029.276;6.595.724.325;6.555.603.908;6.575.664.116;0.003050674111;2.033.943.629;450;150;1
9.328.336.361;4.985.795.636;6.588.497.174;6.551.206.406;656.985.179;0.002838021987;2.283.283.364;450;175;1
9.265.948.722;5.492.508.425;6.593.774.897;6.555.596.386;6.574.685.641;0.002903447664;2.532.659.487;450;200;1
9.209.852.238;5.955.377.921;6.571.812.807;6.551.493.017;6.561.652.912;0.00154837434;2.782.098.522;450;225;1
9.141.260.831;6.489.795.525;6.584.585.055;65.523.107;6.568.447.877;0.002456771743;3.031.412.608;450;250;1
9.093.329.853;6.996.467.104;6.577.048.662;6.551.918.233;6.564.483.448;0.001914120768;3.280.933.299;450;275;1
905.663.584;7.492.889.413;6.568.787.535;6.559.169.875;6.563.978.705;0.0007326090223;3.530.566.358;450;300;2
9.020.005.385;803.675.958;6.566.168.946;6.556.037.731;6.561.103.339;0.0007720664488;3.780.200.054;450;325;1
8.991.148.622;8.587.295.441;6.567.364.118;6.556.227.174;6.561.795.646;0.0008486201734;4.029.911.486;450;350;1
8.985.349.152;917.571.962;6.571.867.243;6.562.634.343;6.567.250.793;0.0007029501725;4.279.853.492;450;375;2
8.995.226.126;9.733.933.893;6.590.581.318;6.581.238.409;6.585.909.863;0.0007093104662;4.529.952.261;450;400;2
9.001.937.558;1.031.708.344;6.592.649.176;6.583.982.065;658.831.562;0.0006577637761;4.780.019.376;450;425;2
9.005.984.159;1.096.274.182;657.919.208;6.569.515.625;6.574.353.852;0.0007359243755;5.030.059.842;450;450;2
9.009.659.472;116.229.151;6.557.265.149;6.555.266.064;6.556.265.607;0.0001524560658;5.280.096.595;450;475;2
8.991.643.056;1.231.985.458;6.567.773.739;6.558.908.687;6.563.341.213;0.0006753459549;5.529.916.431;450;500;2
8.915.855.425;1.289.047.601;6.590.507.874;6.555.042.447;6.572.775.161;0.002697903571;5.779.158.554;450;525;1
8.837.940.479;1.343.178.681;6.598.596.005;655.590.675;6.577.251.378;0.003245219921;6.028.379.405;450;550;1
9.543.262.275;3.398.555.767;6.614.511.841;6.557.878.882;6.586.195.362;0.004299368304;1.035.432.623;500;50;0
9.443.252.789;4.110.744.425;6.611.234.388;6.557.294.494;6.584.264.441;0.00409612145;1.284.432.528;500;75;0
9.341.671.614;4.866.205.699;6.593.235.285;6.549.623.963;6.571.429.624;0.003318252234;1.533.416.716;500;100;1
924.725.534;5.603.302.298;6.599.857.301;6.555.079.135;6.577.468.218;0.003403905962;1.782.472.553;500;125;1
9.154.780.058;6.330.283.651;6.589.408.334;6.555.939.711;6.572.674.022;0.002546043087;2.031.547.801;500;150;1
9.078.886.937;7.061.506.282;6.595.708.433;6.556.848.693;6.576.278.563;0.002954538737;2.280.788.869;500;175;1
902.238.594;7.857.255.177;6.571.253.454;6.556.738.382;6.563.995.918;0.001105658231;2.530.223.859;500;200;1
8.975.016.392;8.739.672.703;6.571.703.215;655.645.317;6.564.078.193;0.001161628843;2.779.750.164;500;225;1
8.974.189.343;9.705.738.655;6.575.223.258;6.566.772.407;6.570.997.833;0.0006430416132;3.029.741.893;500;250;2
8.980.809.911;1.072.423.336;658.196.196;6.574.419.353;6.578.190.656;0.0005733040445;3.279.808.099;500;275;2
8.985.163.614;1.190.423.369;6.562.402.009;6.556.312.195;6.559.357.102;0.0004642081201;3.529.851.636;500;300;2
8.890.397.308;1.301.892.914;6.594.643.877;6.556.178.723;65.754.113;0.002924923782;3.778.903.973;500;325;1
8.748.522.096;140.113.897;6.607.438.052;6.556.220.642;6.581.829.347;0.003890818796;4.027.485.221;500;350;1
8.598.520.263;1.504.880.815;6.593.606.198;6.557.857.327;6.575.731.762;0.002718242831;4.275.985.203;500;375;0
846.767.502;1.601.474.657;6.596.325.351;6.555.352.534;6.575.838.943;0.003115406051;452.467.675;500;400;1
8.356.772.933;169.479.493;6.599.250.003;6.555.370.957;657.731.048;0.003335637432;4.773.567.729;500;425;1
8.255.145.383;1.784.944.904;6.588.636.006;6.557.577.837;6.573.106.922;0.002362518147;5.022.551.454;500;450;0
8.120.661.669;1.882.262.398;6.590.278.138;6.556.804.166;6.573.541.152;0.002546114078;5.271.206.617;500;475;1
7.996.132.955;1.976.338.122;6.573.704.553;6.557.227.802;6.565.466.178;0.001254804375;551.996.133;500;500;0
7.896.181.741;2.070.708.677;6.581.487.968;6.555.000.456;6.568.244.212;0.002016331239;5.768.961.817;500;525;1
7.816.559.324;217.133.319;6.589.691.106;6.556.374.065;6.573.032.586;0.002534373666;6.018.165.593;500;550;1
941.582.562;4.300.488.702;6.611.839.576;655.223.351;6.582.036.543;0.00452793489;1.034.158.256;550;50;1
9.283.382.449;5.290.094.814;6.603.483.207;6.550.146.395;6.576.814.801;0.004054912103;1.282.833.824;550;75;1
9.161.413.346;6.235.051.758;6.590.527.286;6.555.911.988;6.573.219.637;0.002633055034;1.531.614.133;550;100;1
90.574.454;7.196.559.063;660.590.318;6.556.755.886;6.581.329.533;0.003733842355;1.780.574.454;550;125;1
8.983.298.454;8.321.722.433;6.577.648.219;6.557.867.057;6.567.757.638;0.001505929728;2.029.832.985;550;150;0
8.951.647.047;9.710.459.105;6.566.490.071;6.554.554.887;6.560.522.479;0.0009096214634;227.951.647;550;175;1
8.958.839.232;1.128.786.441;6.568.244.177;6.553.742.539;6.560.993.358;0.001105140367;2.529.588.392;550;200;1
8.871.490.376;1.309.689.701;6.597.087.385;6.555.577.311;6.576.332.348;0.003156020075;2.778.714.904;550;225;1
8.652.241.245;1.462.565.936;6.612.551.747;6.555.093.661;6.583.822.704;0.004363580835;3.026.522.412;550;250;1
8.456.975.414;1.606.093.341;6.607.673.558;65.559.839;6.581.828.729;0.003926694251;3.274.569.754;550;275;1
8.302.867.414;1.731.910.482;660.810.322;6.556.469.908;6.582.286.564;0.003922141028;3.523.028.674;550;300;1
8.146.178.638;185.515.777;6.599.456.782;6.555.623.163;6.577.539.973;0.003332067898;3.771.461.786;550;325;1
7.969.151.084;1.985.331.047;6.578.461.845;6.555.535.043;6.566.998.444;0.001745607402;4.019.691.511;550;350;1
7.841.936.469;2.111.838.265;6.589.614.248;6.555.674.031;657.264.414;0.00258193023;4.268.419.365;550;375;1
7.758.966.294;2.236.331.821;6.589.211.908;6.555.946.638;6.572.579.273;0.002530610034;4.517.589.663;550;400;1
7.749.785.144;2.360.020.408;658.850.847;6.556.339.037;6.572.423.753;0.002447303634;4.767.497.851;550;425;1
7.753.211.152;252.680.117;6.588.377.531;6.556.994.821;6.572.686.176;0.002387357964;5.017.532.112;550;450;1
763.805.384;2.692.940.698;658.382.688;655.796.243;6.570.894.655;0.00196810718;5.266.380.538;550;475;0
7.457.704.758;2.873.194.007;6.591.881.668;655.670.778;6.574.294.724;0.002675107376;5.514.577.048;550;500;1
7.240.786.279;3.052.860.671;6.605.893.627;6.555.338.128;6.580.615.878;0.003841243754;5.762.407.863;550;525;1
699.651.957;3.220.359.424;6.604.559.191;6.557.579.536;6.581.069.363;0.003569302477;6.009.965.196;550;550;0
9.291.024.541;5.207.771.547;6.617.871.355;6.551.995.736;6.584.933.546;0.005001995713;1.032.910.245;600;50;1
9.135.772.164;6.386.086.639;6.598.858.974;6.556.559.209;6.577.709.092;0.003215387356;1.281.357.722;600;75;1
9.016.353.276;7.600.129.169;6.597.291.956;6.550.103.527;6.573.697.741;0.00358918456;1.530.163.533;600;100;1
8.932.222.593;9.231.665.076;6.579.139.204;6.556.703.876;656.792.154;0.00170794735;1.779.322.226;600;125;1
8.933.451.022;1.133.495.163;6.565.964.356;6.552.867.923;6.559.416.139;0.0009982925478;202.933.451;600;150;1
8.760.943.428;138.369.277;6.616.504.811;6.553.668.739;6.585.086.775;0.004771089133;2.277.609.434;600;175;1
8.484.679.102;1.581.153.907;6.611.424.876;6.554.625.369;6.583.025.122;0.004314088539;2.524.846.791;600;200;1
8.285.329.797;1.736.348.825;6.621.446.751;6.557.223.501;6.589.335.126;0.004873272378;2.772.853.298;600;225;0
8.085.684.739;1.892.382.986;6.612.203.672;6.555.155.038;6.583.679.355;0.00433257989;3.020.856.847;600;250;1
7.892.519.473;2.041.784.911;6.593.843.023;6.556.972.548;6.575.407.786;0.002803664552;3.268.925.195;600;275;1
7.746.401.542;2.196.223.967;6.601.948.654;655.660.727;6.579.277.962;0.003445771989;3.517.464.015;600;300;1
7.704.508.286;2.346.319.001;6.580.747.734;6.557.790.069;6.569.268.902;0.001747353132;3.767.045.083;600;325;0
7.699.998.746;2.543.388.073;6.592.599.432;6.556.143.341;6.574.371.386;0.002772591416;4.016.999.987;600;350;1
7.543.848.783;2.780.488.924;6.587.118.573;6.555.580.875;6.571.349.724;0.002399636191;4.265.438.488;600;375;1
7.285.165.737;3.014.616.604;6.603.249.736;6.557.872.849;6.580.561.293;0.003447797606;4.512.851.657;600;400;0
6.967.535.069;3.237.483.589;6.613.781.646;6.557.086.057;6.585.433.851;0.004304620712;4.759.675.351;600;425;0
6.690.901.472;3.445.513.168;6.624.759.628;6.557.379.381;6.591.069.504;0.005111480518;5.006.909.015;600;450;0
6.525.360.892;3.613.586.801;6.624.237.527;6.556.810.408;6.590.523.968;0.005115459687;5.255.253.609;600;475;1
6.500.589.623;3.800.640.774;6.588.412.123;6.557.858.464;6.573.135.294;0.002324131285;5.505.005.896;600;500;0
